N,Bubble,Quick,Insert
524,0.873000,0.049000,0.264000
525,0.879000,0.050000,0.248000
526,0.890000,0.050000,0.247000
527,0.899000,0.048000,0.249000
528,0.883000,0.049000,0.250000
529,0.888000,0.050000,0.279000
530,0.976000,0.070000,0.446000
531,1.097000,0.059000,0.327000
532,1.326000,0.065000,0.350000
533,1.060000,0.057000,0.326000
534,0.963000,0.054000,0.288000
535,0.996000,0.060000,0.300000
536,0.963000,0.051000,0.259000
537,0.910000,0.049000,0.269000
538,0.948000,0.050000,0.257000
539,0.943000,0.051000,0.265000
540,0.920000,0.051000,0.271000
541,0.939000,0.049000,0.290000
542,0.969000,0.051000,0.258000
543,0.927000,0.052000,0.254000
544,0.994000,0.051000,0.272000
545,0.948000,0.051000,0.290000
546,0.955000,0.050000,0.274000
547,0.947000,0.052000,0.284000
548,0.947000,0.052000,0.261000
549,0.947000,0.052000,0.270000
550,0.954000,0.052000,0.268000
551,0.954000,0.052000,0.276000
552,0.967000,0.052000,0.276000
553,0.998000,0.051000,0.315000
554,1.104000,0.066000,0.424000
555,1.085000,0.061000,0.330000
556,1.459000,0.094000,0.462000
557,0.971000,0.054000,0.279000
558,0.983000,0.054000,0.285000
559,1.012000,0.053000,0.280000
560,1.147000,0.064000,0.338000
561,1.095000,0.058000,0.314000
562,1.115000,0.060000,0.325000
563,1.499000,0.060000,0.329000
564,1.118000,0.055000,0.286000
565,1.006000,0.052000,0.293000
566,1.045000,0.054000,0.301000
567,1.211000,0.061000,0.343000
568,1.034000,0.056000,0.284000
569,1.088000,0.092000,0.287000
570,1.038000,0.054000,0.296000
571,1.010000,0.054000,0.303000
572,1.030000,0.055000,0.302000
573,1.062000,0.053000,0.301000
574,1.033000,0.055000,0.288000
575,1.157000,0.074000,0.502000
576,1.268000,0.078000,0.521000
577,1.378000,0.094000,0.364000
578,1.241000,0.063000,0.309000
579,1.110000,0.092000,0.312000
580,1.075000,0.056000,0.294000
581,1.072000,0.055000,0.303000
582,1.096000,0.056000,0.317000
583,1.059000,0.056000,0.305000
584,1.068000,0.055000,0.304000
585,1.083000,0.055000,0.303000
586,1.232000,0.064000,0.361000
587,1.220000,0.062000,0.351000
588,1.221000,0.056000,0.329000
589,1.107000,0.058000,0.310000
590,1.153000,0.057000,0.320000
591,1.113000,0.058000,0.331000
592,1.128000,0.055000,0.309000
593,1.092000,0.056000,0.327000
594,1.108000,0.056000,0.315000
595,1.250000,0.065000,0.535000
596,1.266000,0.066000,0.545000
597,1.648000,0.059000,0.330000
598,1.192000,0.060000,0.336000
599,1.171000,0.058000,0.333000
600,1.125000,0.059000,0.334000
601,1.134000,0.058000,0.317000
602,1.155000,0.058000,0.328000
603,1.152000,0.062000,0.353000
604,1.204000,0.057000,0.332000
605,1.157000,0.056000,0.333000
606,1.164000,0.058000,0.327000
607,1.160000,0.057000,0.323000
608,1.177000,0.060000,0.429000
609,1.314000,0.060000,0.316000
610,1.168000,0.079000,0.452000
611,1.325000,0.065000,0.398000
612,1.300000,0.065000,0.396000
613,1.259000,0.058000,0.354000
614,1.366000,0.073000,0.512000
615,1.533000,0.085000,0.561000
616,1.321000,0.067000,0.378000
617,1.319000,0.069000,0.408000
618,1.404000,0.061000,0.342000
619,1.209000,0.059000,0.348000
620,1.255000,0.058000,0.333000
621,1.251000,0.059000,0.345000
622,1.214000,0.059000,0.380000
623,1.338000,0.068000,0.386000
624,1.363000,0.067000,0.391000
625,1.226000,0.060000,0.355000
626,1.211000,0.060000,0.343000
627,1.302000,0.060000,0.356000
628,1.222000,0.060000,0.344000
